game_number	player_bankrupt	turn
431	Charly	45
431	Hero	72
431	Alice	89
432	Alice	40
432	Hero	48
432	Charly	54
433	Charly	40
433	Bob	54
433	Alice	58
437	Bob	53
437	Alice	58
437	Hero	63
435	Hero	78
435	Bob	92
435	Alice	96
436	Alice	85
436	Hero	93
436	Charly	105
438	Bob	26
438	Charly	36
438	Hero	42
441	Alice	40
441	Hero	69
441	Charly	94
440	Bob	89
440	Charly	104
440	Hero	118
443	Hero	28
443	Charly	36
443	Alice	44
445	Charly	47
445	Bob	52
445	Hero	62
444	Alice	66
444	Hero	70
444	Charly	73
446	Hero	72
446	Alice	92
446	Charly	94
447	Alice	50
447	Charly	55
447	Bob	77
451	Bob	52
451	Hero	62
451	Charly	62
449	Hero	64
449	Bob	72
449	Charly	84
452	Alice	24
452	Charly	36
452	Bob	39
454	Charly	53
454	Hero	53
454	Alice	63
453	Alice	42
453	Charly	172
453	Hero	210
456	Bob	37
456	Charly	41
456	Alice	58
457	Hero	21
457	Bob	24
457	Charly	25
458	Alice	30
458	Charly	41
458	Bob	50
459	Hero	51
459	Bob	52
459	Charly	66
461	Alice	100
461	Charly	145
461	Hero	148
464	Hero	36
464	Charly	38
464	Alice	48
462	Bob	28
462	Alice	38
462	Hero	65
465	Bob	26
465	Charly	31
465	Hero	63
466	Alice	25
466	Bob	45
466	Charly	46
469	Hero	34
469	Alice	37
469	Bob	42
467	Bob	93
467	Alice	105
467	Charly	120
468	Alice	22
468	Hero	29
468	Bob	47
472	Hero	39
472	Bob	49
472	Alice	54
471	Bob	42
471	Charly	46
471	Alice	57
470	Alice	32
470	Charly	40
470	Bob	52
474	Alice	29
474	Hero	52
474	Charly	70
475	Hero	50
475	Charly	52
475	Bob	55
477	Bob	56
477	Charly	60
477	Alice	65
480	Bob	30
480	Alice	36
480	Charly	45
479	Alice	53
479	Bob	57
479	Charly	60
478	Charly	55
478	Alice	80
478	Hero	94
481	Alice	34
481	Hero	34
481	Bob	42
483	Bob	42
483	Charly	42
483	Alice	48
482	Bob	52
482	Charly	56
482	Hero	57
485	Alice	29
485	Charly	48
485	Bob	52
484	Bob	53
484	Alice	59
484	Hero	64
486	Charly	21
486	Hero	36
486	Alice	48
487	Bob	55
487	Charly	62
487	Alice	66
490	Alice	53
490	Charly	68
490	Hero	80
491	Hero	29
491	Charly	30
491	Alice	42
492	Alice	33
492	Bob	40
492	Charly	41
493	Alice	62
493	Bob	63
493	Hero	63
498	Bob	33
498	Charly	40
498	Alice	43
499	Bob	41
499	Alice	47
499	Hero	68
500	Hero	47
500	Alice	54
500	Bob	68
501	Alice	37
501	Charly	40
501	Hero	51
502	Alice	46
502	Hero	55
502	Charly	67
503	Hero	40
503	Bob	46
503	Charly	58
504	Bob	47
504	Hero	47
504	Charly	49
505	Alice	45
505	Bob	72
505	Charly	76
506	Charly	33
506	Alice	40
506	Bob	48
507	Alice	30
507	Charly	39
507	Hero	39
508	Charly	30
508	Hero	37
508	Bob	41
511	Bob	31
511	Hero	40
511	Alice	50
512	Hero	36
512	Bob	44
512	Charly	48
514	Charly	47
514	Bob	51
